H001012,Whose rebellion was put down by Verginius Rufus in 68 AD?,VINDEX
H001013,What Roman general bribed the praetorian guards ot desert Nero?,GALBA
H001014,Which emperor's final words were `qualis artifex pereo`?,NERO
H001015,What does `qualis artifex pereo` mean?,WHAT AN ARTIST DIES IN ME
H001016,Who reportedly said `qualis artifex pereo` before he had his servant plunge a sword into him?,NERO
H001017,Name the five Julio-Claudian emperors.,AUGUSTUS> TIBERIUS> CALIGULA> CLAUDIUS> NERO
H001018,In what year were there four emperors?,69 AD
H001019,How many emperors were there in 69 AD?,4; FOUR
H001020,What was the year 69 AD known as?,YEAR OF THE FOUR EMPERORS
H001021,Who was the only emperor to make it past 69 AD?,VESPASIAN
H001022,Name in order the emperors of 69 AD.,GALBA> OTHO> VITELLIUS> VESPASIAN
H001023,Which emperor was killed at the First Battle of Cremona in 69 AD?,OTHO
H001024,What is another name for the battle of Cremona?,BEDRIACUM
H001025,Which two generals of Vitellius killed Otho at the First Battle of Cremona in 69 AD?,CAECINA & VALENS
H001026,Who were the two star generals of Vitellius?,CAECINA & VALENS
H001027,Which emperor was defeated at the Second Battle of Bedriacum in 69 AD,VITELLIUS
H001028,What general of Vespasian defeated Vitellius at the Second Battle of Bedriacum?,ANTONIUS PRIMUS
H001029,Who was defeated by Antonius Primus at the Second Battle of Cremona?,VITELLIUS
H001030,Which emperor of 69 Ad captured Rome through his general Antonius Primus?,VESPASIAN
H001031,What dynasty ruled from 69–96 AD?,FLAVIAN
H001032,What were the years of the Flavian Dynasty?,69–96 AD
H001033,Which emperor reigned from 69–79 AD?,VESPASIAN
H001034,What were the years of Vespasian's reign?,69–79 AD
H001035,Who were the two sons of Vespasian?,TITUS & DOMITIAN
H001036,Which emperor was the father of Titus & Domitian?,VESPASIAN
H001037,Which emperor said on his deathbed `vae> puto> deus fio`?,VESPASIAN
H001038,What did Vespasian say on his deathbed?,VAE> PUTO> DEUS FIO
H001039,What does `vae> puto> deus fio` mean?,ALAS> I THINK> I AM BECOMING A GOD
H001040,Which emperor reigned from 79–81 AD?,TITUS
H001041,What were the years of Titus' reign?,79–81 AD
H001042,While his father was emperor who put down a Jewish rebellion at Jerusalem?,TITUS
H001043,At what city did Titus put down a Jewish rebellion during his father's reign?,JERUSALEM
H001044,What monument in Rome commemorates Titus' suppression of the Jewish rebellion?,ARCH OF TITUS
H001045,During which emperor's reign did Mt. Vesuvius erupt?,TITUS'
H001046,What castrophic event occurred on August 24> 79 AD?,ERUPTION OF MT. VESUVIUS
H001047,What cities were buried by the eruption of Mt. Vesuvius?,POMPEII & HERCULANEUM
H001048,What is the alternate name for the Colosseum?,FLAVIAN AMPHITHEATER
H001049,What is the alternate name for the Flavian Amphitheater?,COLOSSEUM
H001050,Which emperor completed the construction of the Colosseum?,TITUS
H001051,In what year did Titus complete the construction of the Colosseum?,80 AD
H001052,How did the Colosseum receive its name?,COLOSSUS STATUE OF NERO IN FRONT
H001053,Which emperor reigned from 81–96 AD?,DOMITIAN
H001054,What were the years of Domitian's reign?,81–96 AD
H001055,Who was the wife of Domitian?,DOMITIA
H001056,What butler murdered Domitian?,STEPHANUS
H001057,Which emperor was murdered by his butler Stephanus?,DOMITIAN
H001058,Which emperor liked to be called `dominus et deus`?,DOMITIAN
H001059,What did Domitian like to be called?,DOMINUS ET DEUS
H001060,Which emperor was betrayed by his wife Domitia and murdered by his butler Stephanus?,DOMITIAN
H001061,Name the three Flavian emperors.,VESPASIAN> TITUS> DOMITIAN
H001062,Name the Five Good Emperors.,NERVA> TRAJAN> HADRIAN> ANTONINUS PIUS> MARCUS AURELIUS
H001063,Which dynasty reigned from 96–180 AD?,FIVE GOOD EMPERORS
H001064,What were the years of the Five Good Emperors?,96–180 AD
H001065,How did the Five Good Emperors choose their successors?,ADOPTION
H001066,Which of the Five Good Emperors was succeeded by his natural son Commodus?,MARCUS AURELIUS
H001067,Which emperor reigned from 96–98 AD?,NERVA
H001068,What were the years of Nerva's reign?,96–98 AD
H001069,Who was the first emperor appointed by the Senate?,NERVA
H001070,Who appointed Nerva emperor?,SENATE
H001071,Which emperor was the last person buried in the Mausoleum of Augustus?,NERVA
H001072,Where was Nerva the last person buried?,MAUSOLEUM OF AUGUSTUS
H001073,Which emperor reigned from 98–117 AD?,TRAJAN
H001074,What were the years of Trajan's reign?,98–117 AD
H001075,Where was Trajan born?,SPAIN
H001076,Which emperor was the first of provincial origin?,TRAJAN
H001077,Which emperor grow the empire to its greatest ever extent?,TRAJAN
H001078,Which emperor was referred to as `optimus princeps`?,TRAJAN
H001079,By what two-word title was Trajan often addressed?,OPTIMUS PRINCEPS
H001080,Which emperor is best known for his conquest of Dacia?,TRAJAN
H001081,What province is Trajan best known for conquering?,DACIA
H001082,What monument commemorates Trajan's conquest of Dacia?,TRAJAN'S COLUMN
H001083,Which emperor reigned from 117–138?,HADRIAN
H001084,What were the years of Hadrian's reign?,117–138 AD
H001085,Which emperor built the first defensive wall in Britain to mark Rome's territory?,HADRIAN
H001086,Which monument in Britain was the first to mark Rome's territory?,HADRIAN'S WALL
H001087,What moorish cavalry commander revolted against Hadrian in 118 AD?,LUSIUS QUIETUS
H001088,Which emperor put down the rebellion of Lusius Quietus> the moorish cavalry commander?,HADRIAN
H001089,Who was the wife of Hadrian?,SABINA
H001090,Which emperor was married to Sabina?,HADRIAN
H001091,Which emperor reigned from 138–161 AD?,ANTONINUS PIUS
H001092,What were the years of Antoninus Pius' reign?,138–161 AD
H001093,Which emperor built a wall just north of Hadrian's in Britain?,ANTONINUS PIUS
H001094,What structure in Britain marked Roman territory north of Hadrian's Wall?,ANTONINE WALL
H001095,Which emperor reigned from 161–180 AD?,MARCUS AURELIUS
H001096,What were the years of Marcus Aurelius' reign?,161–180 AD
H001097,Which emperor was a stoic philosopher who wrote a book entitled `Meditations`?,MARCUS AURELIUS
H001098,Which emperor wrote the `Meditations` which discussed stoic philosophy?,MARCUS AURELIUS
H001099,What book of Marcus Aurelius discussed stoic philosophy?,MEDITATIONS
H001100,What philosophy did Marcus Aurelius practice?,STOICISM
H001101,Who was the wife of Marcus Aurelius?,FAUSTINA THE YOUNGER
H001102,Which emperor married Faustina the Younger?,MARCUS AURELIUS
H001103,Which emperor spent most of his reign at war against the Parthians> Quadi> and Marcomanni?,MARCUS AURELIUS
H001104,Which emperor died at Vindobona in 180 AD?,MARCUS AURELIUS
H001105,Where did Marcus Aurelius die in 180 AD?,VINDOBONA
H001106,What is the modern day name of Vindobona?,VIENNA
H001107,What is the ancient name of Vienna?,VINDOBONA
H001108,Which emperor's last words were `go to the rising sun> my sun is setting`?,MARCUS AURELIUS
H001109,Which emperor shared the throne with Lucius Verus for eight years?,MARCUS AURELIUS
H001110,Who shared the throne with Marcus Aurelius from 161–169 AD?,LUCIUS VERUS
H001111,What governor of Syria revolted during Marcus Aurelius' reign?,AVIDIUS CASSIUS
H001112,Which emperor put down the rebellion of Avidius Cassius?,MARCUS AURELIUS
H001113,What biological son of Marcus Aurelius succeeded him as emperor?,COMMODUS
H001114,Which emperor reigned from 180–192 AD?,COMMODUS
H001115,What were the years of Commodus' reign?,180–192 AD
H001116,Which emperor thought of himself as a reincarnation of Hercules?,COMMODUS
H001117,What mythological hero did Commodus think of himself as?,HERCULES
H001118,Which emperor changed the name of Rome to Colonia Commodiana?,COMMODUS
H001119,What did Commodus change Rome's name to?,COLONIA COMMODIANA
H001120,What sister of Commodus unsuccessfully conspired against him?,LUCILLA
H001121,Which emperor was conspired against by his sister Lucilla?,COMMODUS
H001122,Which emperor was strangled in his bath?,COMMODUS
H001123,How did Commodus die?,STRANGLED IN HIS BATH
H001124,What mistress of Commodus was part of the successful plot against his life?,MARCIA
H001125,Who was the Christian mistress of Commodus?,MARCIA
H001126,What Praetorian Prefect was part of the successful plot against Commodus' life?,LAETUS
H001127,Which emperor succeeded Commodus and ruled briefly in 193 AD?,PERTINAX
H001128,In what year did Pertinax suceed Commodus and rule briefly?,193 AD
H001129,Which emperor succeeded Pertinax and ruled briefly in 193 AD?,DIDIUS JULIANUS
H001130,In what year did Didius Julianus succeed Pertinax and rule briefly?,193 AD
H001131,Which emperor purchased the imperial throne at an auction?,DIDIUS JULIANUS
H001132,Who outbid Sulpicianus to purchase the imperial throne in 193 AD?,DIDIUS JULIANUS
H001133,Who did Didius Julianus outbid for the imperial throne?,SULPICIANUS
H001134,Which dynasty reigned from 193–235 AD?,SEVERANS
H001135,What were the years of the Severan Dynasty?,193–235 AD
H001136,Which emperor reigned from 193–211 AD?,SEPTIMIUS SEVERUS
H001137,What were the years of Septimius Severus' reign?,193–211 AD
H001138,Which Severan emperor built an arch in the Roman Forum?,SEPTIMIUS SEVERUS
H001139,What structure in the Forum Romanum commemorates the military accomplishments of Septimius Severus?,ARCH OF SEPTIMIUS SEVERUS
H001140,Who were the two sons of Septimius Severus & Julia Domna?,CARACALLA & GETA
H001141,Which emperor ruled with his brother from 211–212 AD?,GETA
H001142,What were the years of Geta's reign?,211–212 AD
H001143,Which emperor ruled from 211–217 AD?,CARACALLA
H001144,What were the years of Caracalla's reign?,211–217 AD
H001145,Which emperor killed his brother Geta as they struggled for the throne?,CARACALLA
H001146,Which emperor granted citizenship to all free inhabitants of the Roman empire in 212 AD?,CARACALLA
H001147,Who passed an edict in 212 AD which granted citizenship to all free inhabitants of the Roman empire?,CARACALLA
H001148,What was the effect of Caracalla's Constitutio Antoniniana edict in 212 AD?,GRANTED CITIZENSHIP TO ALL FREE INHABITANTS OF THE ROMAN EMPIRE
H001149,Which emperor reigned from 217–218 AD?,MACRINUS
H001150,What were the years of Macrinus' reign?,217–218 AD
H001151,Who was the first emperor of equestrian origin?,MACRINUS
H001152,Which emperor reigned from 218–222 AD?,ELAGABALUS
H001153,What were the years of Elagabalus' reign?,218–222 AD
H001154,What grandson of Julia Maesa from 218–222 AD?,ELAGABALUS
H001155,Who was the domineering grandmother of Elagabalus?,JULIA MAESA
H001156,Which emperor introduced the worship of a sun god from Emesa in Syria?,ELAGABALUS
H001157,Who brought a sun god from Emesa to Rome?,ELAGABALUS
H001158,Which emperor reigned from 222–235 AD?,SEVERUS ALEXANDER
H001159,What were the years of Severus Alexander's reign?,222–235 AD
H001160,What son of Julia Mamaea ruled from 222–235 AD?,SEVERUS ALEXANDER
H001161,Who was the mother of Severus Alexander?,JULIA MAMAEA
H001162,Which emperor was murdered along with his mother Julia Mamaea by the Praetorian Guard?,SEVERUS ALEXANDER
H001163,Why did the Praetorian Guard murder Severus Alexander and Julia Mamaea?,PEACE EFFORTS WITH THE GERMANS
H001164,Name all 5 Severan emperors.,SEPTIMIUS SEVERUS> GETA> CARACALLA> MACRINUS> ELAGABALUS> SEVERUS ALEXANDER
H001165,In what year were there six emperors?,238 AD
H001166,How many emperors ruled in 238 AD?,6; SIX
H001167,Name the 6 emperors of 238 AD.,MAXIMINUS THRAX> GORDIAN I> GORDIAN II> BALBINUS> PUPIENUS> GORDIAN III
H001168,Which emperor from Thrace reigned from 235–238 AD?,MAXIMINUS THRAX
H001169,What were the years of Maximinus Thrax's reign?,235–238 AD
H001170,Which emperor reigned from 238–244 AD?,GORDIAN III
H001171,What were the years of Gordian III's reign?,238–244 AD
H001172,Which emperor reigned from 244–249 AD?,PHILIP THE ARAB
H001173,What were the years of Philip the Arab's reign?,244–249 AD
H001174,What significant event happened during Philip the Arab's reign?,ROME'S 1000TH ANNIVERSARY
H001175,Which emperor reigned during Rome's 1000th anniversary?,PHILIP THE ARAB
H001176,Which emperor reigned from 249–251 AD?,DECIUS
H001177,What were the years of Decius' reign?,249–251 AD
H001178,Who was the first emperor to systematically persecute Christians throughout the empire?,DECIUS
H001179,What group was Decius the first emperor to systematically persecute throughout the empire?,CHRISTIANS
H001180,Which emperor reigned from 253–260 AD?,VALERIAN
H001181,What were the years of Valerian's reign?,253–260 AD
H001182,Who was the first emperor captured by a foreign enemy?,VALERIAN
H001183,At what battle in 260 AD was Valerian captured by the Persian king Shapur?,EDESSA
H001184,What Persian king captured Valerian at Edessa in 260 AD?,SHAPUR
H001185,Which emperor reigned from 253–268 AD?,GALLIENUS
H001186,What were the years of Gallienus' reign?,253–268 AD
H001187,Which emperor was the son of Valerian?,GALLIENUS
H001188,Which emperor was the father of Gallienus?,VALERIAN
H001189,What emperor attended lectures on Plotinus with his wife Salonina?,GALLIENUS
H001190,At what battle in 268 AD did Gallienus and Claudius Gothicus defeat the Goths?,NAISSUS
H001191,In what year did Gallienus and Claudius Gothicus defeat the Goths at Naissus?,268 AD
H001192,What group did Gallienus and Claudius Gothicus defeat at Naissus?,GOTHS
H001193,Who led a rebellion against Gallienus at Mediolanum?,AUREOLUS
H001194,Which emperor died suppressing a rebellion under Aureolus at Mediolanum?,GALLIENUS
H001195,Where did Gallienus die suppressing the rebellion of Aureolus?,MEDIOLANUM
H001196,What is the modern day name of Mediolanum?,MILAN
H001197,What is the ancient name of Milan?,MEDIOLANUM
H001198,Which emperor reigned from 268–270 AD?,CLAUDIUS GOTHICUS
H001199,What were the years of Claudius Gothicus' reign?,268–270 AD
H001200,At what battle did Claudius Gothicus earn his cognomen for defeating the Goths?,NAISSUS
H001201,At what battle in 269 AD did Claudius Gothicus defeat the Alamanni?,LAKE BENACUS
H001202,In 269 AD who defeated the Alamanni at Lake Benacus?,CLAUDIUS GOTHICUS
H001203,Which emperor died of plague in 270 AD?,CLAUDIUS GOTHICUS
H001204,How did Claudius Gothicus die in 270 AD?,PLAGUE
H001205,Which emperor reigned from 270–275 AD?,AURELIAN
H001206,What were the years of Aurelian's reign?,270–275 AD
H001207,Which emperor built the greatest wall around Rome?,AURELIAN
H001208,What structure in Rome was the greatest of its kind since the one built by Servius Tullius?,AURELIAN'S WALL
H001209,What queen of Palmyra revolted against Aurelian?,ZENOBIA
H001210,Which emperor put down the rebellion of Zenobia in the East?,AURELIAN
H001211,With what infant son of was Zenobia ruling?,VABALLATHUS
H001212,Who led a rebellion with her infant son Vaballathus against Aurelian?,ZENOBIA
H001213,What husband of Zenobia had been murdered despite his loyalty to Rome?,ODENAETHUS
H001214,Whose husband Odenaethus had been murdered despite his loyalty to Rome?,ZENOBIA
H001215,Who defeated Tetricus the ruler of the Gallic Empire?,AURELIAN
H001216,What ruler of the Gallic Empire did Aurelian defeat?,TETRICUS
H001217,Who paraded Tetricus and Zenobia through the streets of Rome in his triumph?,AURELIAN
H001218,Which emperor was called `Resitutor Orbis` for defeating Tetricus?,AURELIAN
H001219,What title did Aurelian earn for defeating Tetricus?,RESTITUTOR ORBIS
H001220,Which emperor was called `Restitutor Orientis` for defeating Zenobia?,AURELIAN
H001221,What title did Aurelian earn for defeating Zenobia?,RESITUTOR ORIENTIS
H001222,Which emperor was called `manus ad ferrum` for his strict discipline?,AURELIAN
H001223,What title did Aurelian receive for his strict discipline?,MANUS AD FERRUM
H001224,What does `manus ad ferrum` mean?,HAND ON STEEL
H001225,Which emperor reigned from 284–305 AD?,DIOCLETIAN
H001226,What were the years of Diocletian's reign?,284–305 AD
H001227,Which emperor instituted the Tetrarchy in which the empire was divided into East & West?,DIOCLETIAN
H001228,What does `tetrarchy` mean?,RULE BY 4 (FOUR)
H001229,Who set up a system of government in which the empire was divided among two Augusti and two Caesares as their assistants?,DIOCLETIAN
H001230,How many Augusti ruled at a time during the Tetrarchy?,2; TWO
H001231,How many Caesares ruled at a time during the Tetrarchy?,2; TWO
H001232,Who was the co-Augustus of Diocletian?,MAXIMIAN
H001233,In what year did Diocletian abdicate and retire as emperor?,305 AD
H001234,Who was the first emperor to abdicate from power and retire?,DIOCLETIAN
H001235,Which emperor reigned from 306–337 AD?,CONSTANTINE
H001236,What where the years of Constantine's reign?,306–337 AD
H001237,Which Tetrarch was the father of Constantine?,CONSTANTIUS CHLORUS
H001238,At what battle in 312 AD did Constantine eliminate his rival Maxentius?,MILVIAN BRIDGE
H001239,What rival did Constantine eliminate at the battle of Milvian Bridge in 312 AD?,MAXENTIUS
H001240,Which Tetrarch was the father of Maxentius?,MAXIMIAN
H001241,In what year did Constantine eliminate his rival Maxentius at the Milvian Bridge?,312 AD
H001242,Who was the first Christian emperor?,CONSTANTINE
H001243,Which emperor made Christianity the official religion of the empire?,CONSTANTINE
H001244,What religion did Constantine make the official religion of the empire?,CHRISTIANITY
H001245,Who reportedly saw a cross with the words `in hoc signo vinces` before the battle of Milvian Bridge?,CONSTANTINE
H001246,What words did Constantine reportedly see in a cross before the battle of Milvian Bridge?,IN HOC SIGNO VINCES
H001247,What does `in hoc signo vinces` mean?,IN THIS SIGN YOU WILL CONQUER
H001248,What edict of 313 AD officially recognized Christianity as the offical state religion?,EDICT OF MILAN
H001249,In what year was the Edict of Milan passed> recognizing Christianity as the state religion?,313 AD
H001250,Who issued the Edict of Milan in 313 AD?,CONSTANTINE
H001251,At what battle of 324 AD did Constantine defeat his rival Licinius and become sole emperor?,CHRYSOPOLIS
H001252,Who defeated Licinius at Chrysopolis in 324 AD and became sole emperor?,CONSTANTINE
H001253,What rival did Constantine defeat at Chrysopolis to become sole ruler?,LICINIUS
H001254,In what year did Constantine defeat Licinius at Chrysopolis?,324 AD
H001255,Which emperor moved the official capital of the empire to Byzantium?,CONSTANTINE
H001256,What city did Constantine make the capital of the empire?,BYZANTIUM
H001257,What did Constantine rename Byzantium?,CONSTANTINOPLE
H001258,What city was renamed Constantinople after it became the capital of the empire?,BYZANTIUM
H001259,What is the modern day name of Byzantium?,ISTANBUL
H001260,What was the ancient name of Istanbul?,BYZANTIUM
H001261,Which emperor reigned from 363–364 AD?,JULIAN THE APOSTATE
H001262,What were the years of Julian the Apostate's reign?,363–364 AD
H001263,Who was the last member of the Constantinian dynasty?,JULIAN THE APOSTATE
H001264,Why was Julian known as the `apostate`?,TRIED TO RESTORE PAGAN WORSHIP
H001265,Which emperor was known as `the Apostate` because he tried to restore Pagan worship?,JULIAN THE APOSTATE
H001266,What name did Julian receive for trying to restore Pagan worship throughout the empire?,THE APOSTATE
H001267,Which emperor succeded Julian the Apostate?,JOVIAN
H001268,Which emperor immediately reversed the religious reforms of Julian the Apostate?,JOVIAN
H001269,Which emperor reigned from 364–378 AD?,VALENS
H001270,What were the years of Valens' reign?,364–378 AD
H001271,At what battle in 378 AD was the emperor Valens captured by Fritigern and the Goths?,ADRIANOPLE
H001272,In what year was Valens captured by the Goths at Adrianople?,378 AD
H001273,What Gothic chieftain capture Valens at Adrianiople?,FRITIGERN
H001274,Which emperor was captured by Fritigern and the Goths at Adrianople in 378 AD?,VALENS
H001275,What happened to Valens after the battle of Adrianople?,BEATEN> SKINNED> DYED PURPLE> AND STUFFED
H001276,Which emperor reigned from 379–395 AD?,THEODOSIUS
H001277,What were the years of Theodosius' reign?,379–395 AD
H001278,Who was the last emperor to rule a united empire?,THEODOSIUS
H001279,Which emperor banned pagan worship and closed all pagan temples in 391 AD?,THEODOSIUS
H001280,Which emperor abolished the Olympic Games in 393 AD?,THEODOSIUS
H001281,What event did Theodosius abolish in 393 AD?,OLYMPIC GAMES
H001282,Which emperor massacred a crowd at Thessalonica to avenge the murder of a general?,THEODOSIUS
H001283,Where did Theodosius massacre a crowd to avenge the murder of his general?,THESSALONICA
H001284,What Bishop of Milan did Theodosius confide in?,AMBROSE
H001285,Which emperor confided in Ambrose> Bishop of Milan?,THEODOSIUS
H001286,Which emperor ruled in the West from 395–423 AD?,HONORIUS
H001287,What were the years of Honorius' reign in the West?,395–423 AD
H001288,Which emperor ruled in the East from 395–408 AD?,ARCADIUS
H001289,What were the years of Arcadius' reign in the East?,395–408 AD
H001290,What two sons of Theodosius ruled in the West and East respectively?,HONORIUS (WEST) & ARCADIUS (EAST)
H001291,What half-Vandal soldier served as a regent for Honorius?,STILICHO
H001292,For which emperor did Stilicho serve as a regent?,HONORIUS
H001293,What regent did Honorius eventually execute because of suspicion?,STILICHO
H001294,Who executed his regent Stilicho because of suspicion?,HONORIUS
H001295,What Visigothic chieftain sacked Rome in 410 AD?,ALARIC
H001296,In what year did Alaric sack Rome?,410 AD
H001297,Which emperor fled to Ravenna when Alaric sacked Rome?,HONORIUS
H001298,Where did Honorius flee to when Alaric sacked Rome?,RAVENNA
H001299,What city did Honorius establish as his capital in the West?,RAVENNA
H001300,Which emperor moved the Western capital to Ravenna?,HONORIUS
H001301,Which emperor ruled from 475–476 AD in the West?,ROMULUS AUGUSTULUS
H001302,What were the years of Romulus Augustulus' reign?,475–476 AD
H001303,Who was the last emperor of the Western empire?,ROMULUS AUGUSTULUS
H001304,Who was emperor when Odoacer and the Germans sacked Rome in 476 AD?,ROMULUS AUGUSTULUS
H001305,What Germanic chieftain sacked Rome in 476 AD?,ODOACER
H001306,What was the capital of the Eastern empire?,CONSTANTINOPLE
H001307,When did the Eastern Roman empire fall?,1453 AD
H001308,When did the Western Roman empire fall?,476 AD
